S/N,Year,Site Location,Date of Cleanup,Organization,Name of Organiser,Total number of participants,Total number of trash bags filled,Weight of trash bags collected (kg),Total Distance (metres),DEBRIS SUMMARY,Most Likely to Find Items,Fishing Gear,Packaging Materials,Other Trash,Personal Hygiene,Items of Local Concern,TOTAL ITEMS,Most Likely to Find Items,Most Likely to Find Items.Cigarette Butts,"Most Likely to Find Items.Food Wrappers (candy, chips, etc)",Most Likely to Find Items.Take Out Containers (plastic),Most Likely to Find Items.Take Out Containers (foam),Most Likely to Find Items.Bottle Caps (plastic),Most Likely to Find Items.Bottle Caps (metal),Most Likely to Find Items.Lids (plastic),Most Likely to Find Items.Straws/Stirrers,"Most Likely to Find Items.Forks, Knives, Spoons",Most Likely to Find Items.Beverage Bottles (plastic),Most Likely to Find Items.Beverage Bottles (glass),Most Likely to Find Items.Beverage Cans,Most Likely to Find Items.Grocery Bags (plastic),Most Likely to Find Items.Other Plastic Bags,Most Likely to Find Items.Paper Bags,Most Likely to Find Items.Cups & Plates (paper),Most Likely to Find Items.Cups & Plates (plastic),Most Likely to Find Items.Cups & Plates (foam),Fishing Gear.Fishing Gear,Fishing Gear.Fishing Buoys,Fishing Gear.Fishing Net & Pieces,Fishing Gear.Rope (1 meter = 1 piece),Fishing Gear.Fishing line ( 1 meter = 1 piece),Other Trash.Other Trash,"Other Trash.Appliances (fridges, washers, etc)",Other Trash.Balloons,Other Trash.Cigar Tips,Other Trash.Cigarette Lighters,Other Trash.Construction Materials,Other Trash.Fireworks,Other Trash.Tyres,Items of Local Concern,Items of Local Concern.Foam Pieces,Items of Local Concern.Glass Pieces,Items of Local Concern.Plastic Pieces,Items of Local Concern.Rubber Bands,Packaging Materials,Packaging Materials.6-pack holders,Packaging Materials.Other Plastic / Foam Packaging,"Packaging Materials.Other Plastic Bottles (oil, bleach, etc)",Packaging Materials.Strapping bands,Packaging Materials.Tobacco Packaging / Wrappers,Personal Hygiene,Personal Hygiene.Condoms,Personal Hygiene.Diapers,Personal Hygiene.Syringes,Personal Hygiene.Tampons / Tampon Applicators,Dead / Injured Animals,Dead / Injured Animals.What Animal?,Dead / Injured Animals.Dead or Injured?,Dead / Injured Animals.Is the animal entangled? Entangled by what?,Comments
5,2019,Changi Beach 1,"Saturday, 19 October 2019",Ricoh (Singapore) Pte Ltd,Felicia Kang,45,10,58,200,1944,1369,22,73,22,1,457,1944,1369,891,25,85,74,93,7,2,62,17,69,0,21,1,12,0,0,8,2,22,3,0,1,18,22,0,0,0,3,19,0,0,457,312,0,119,26,73,0,52,1,16,4,1,1,0,0,0,,NIL,,,"Neon Light, Broom Sticks, Toy car, cloth peg, hairband, comb, oil container (plastic), AA battery"
6,2019,Changi Beach 2,"Saturday, 19 October 2019",Mun Siong Engineering,Tan Yan Ling,20,4,13,200,1814,1382,5,128,23,0,276,1814,1382,1055,4,28,0,61,22,7,73,21,43,4,4,4,26,8,5,15,2,5,0,1,1,3,23,0,11,0,3,2,7,0,276,81,10,125,60,128,0,42,0,11,75,0,0,0,0,0,,NIL,,,0
7,2019,Changi Beach 4,"Saturday, 19 October 2019",Evergreen Marine Singapore Pte ltd,James ng,44,8,35,750,1291,844,32,41,30,0,344,1291,844,123,154,13,37,88,3,43,134,83,94,0,8,18,14,0,3,4,25,32,1,7,8,16,30,0,0,0,24,6,0,0,344,235,0,102,7,41,0,19,2,9,11,0,0,0,0,0,,Fish ,,,0
77,2014,Changi Beach 1,"Saturday, 13 September, 2014",IBM IPDL,"Koh Seow Hiang, Jon Vitas Guiritan",20,11,50,450,1088,726,42,12,17,4,287,1088,726,484,24,3,0,57,7,7,53,3,7,0,3,4,38,10,12,13,1,42,0,23,3,16,17,0,1,0,0,5,11,0,287,88,24,162,13,12,0,6,1,0,5,4,1,2,1,0,,Prawn,,,
78,2014,Changi Beach 2,"Saturday, 13 September, 2014",Resorts World Sentosa,Cynthia Wong,42,39,295,250,3054,2285,219,88,56,3,403,3054,2285,1236,100,110,68,88,27,10,45,24,110,29,25,127,186,22,19,54,5,219,44,17,48,110,56,2,5,1,23,24,0,1,403,190,95,64,54,88,0,57,4,16,11,3,1,1,0,1,,"Squid, crab x2, horseshoe crab x2, fish",,,
79,2014,Changi Beach 3,"Saturday, 13 September, 2014",Compassvale Secondary School,Winnie Chia,110,28,57,800,1906,817,214,71,98,2,704,1906,817,298,86,20,5,78,15,5,42,23,130,4,19,17,23,9,7,6,30,214,2,8,65,139,98,9,3,34,16,31,2,3,704,439,7,243,15,71,0,53,2,9,7,2,1,0,1,0,,Fish,,,
80,2014,Changi Beach 4,"Saturday, 13 September, 2014",FMC Technologies Pte Ltd Singapore,Chua Sin Yee,30,10,114,500,558,224,44,11,20,0,259,558,224,106,17,5,0,19,0,4,23,5,10,2,0,12,10,6,3,2,0,44,1,6,0,37,20,0,0,4,2,11,0,3,259,206,0,50,3,11,0,1,2,8,0,0,0,0,0,0,,0,,,
81,2014,Changi Beach 4,"Saturday, 13 September, 2014",Oil Spill Response Limited,Qi Chao,24,9,103,100,620,356,36,37,26,0,165,620,356,88,30,7,2,37,1,2,59,13,27,18,7,4,57,2,0,1,1,36,0,4,17,15,26,0,0,25,0,0,0,1,165,63,8,92,2,37,1,26,1,4,5,0,0,0,0,0,,NIL,,,
82,2014,Changi Beach 4,"Saturday, 13 September 2014",Pacific Refreshments Pte Ltd,"Erwin Suner, Louis Xu, Jeremy Tan, Vanessa Yuen, Joan Guarin,",108,45,169,600,2490,1468,85,119,66,8,744,2490,1457,759,29,44,143,62,11,23,23,19,12,,1,16,98,17,9,26,165,85,10,7,42,26,66,0,0,13,22,26,4,1,744,358,16,349,21,119,0,97,0,5,17,8,0,8,0,0,,Fish,,,
83,2014,Changi Beach 4,12 September 2014 (Friday),ST Dynamics Pte Ltd,Juliana Soh Siok Huay,27,6,8,400,651,311,49,21,55,0,215,651,311,144,51,9,6,30,1,12,17,3,18,1,1,5,7,0,1,0,5,49,0,5,10,34,55,0,0,50,2,3,0,0,215,115,3,88,9,21,0,15,0,0,6,0,0,0,0,0,,NIL,,,
