S/N,Year,Site Location,Date of Cleanup,Organization,Name of Organiser,Total number of participants,Total number of trash bags filled,Weight of trash bags collected (kg),Total Distance (metres),DEBRIS SUMMARY,Most Likely to Find Items,Fishing Gear,Packaging Materials,Other Trash,Personal Hygiene,Items of Local Concern,TOTAL ITEMS,Most Likely to Find Items,Most Likely to Find Items.Cigarette Butts,"Most Likely to Find Items.Food Wrappers (candy, chips, etc)",Most Likely to Find Items.Take Out Containers (plastic),Most Likely to Find Items.Take Out Containers (foam),Most Likely to Find Items.Bottle Caps (plastic),Most Likely to Find Items.Bottle Caps (metal),Most Likely to Find Items.Lids (plastic),Most Likely to Find Items.Straws/Stirrers,"Most Likely to Find Items.Forks, Knives, Spoons",Most Likely to Find Items.Beverage Bottles (plastic),Most Likely to Find Items.Beverage Bottles (glass),Most Likely to Find Items.Beverage Cans,Most Likely to Find Items.Grocery Bags (plastic),Most Likely to Find Items.Other Plastic Bags,Most Likely to Find Items.Paper Bags,Most Likely to Find Items.Cups & Plates (paper),Most Likely to Find Items.Cups & Plates (plastic),Most Likely to Find Items.Cups & Plates (foam),Fishing Gear.Fishing Gear,Fishing Gear.Fishing Buoys,Fishing Gear.Fishing Net & Pieces,Fishing Gear.Rope (1 meter = 1 piece),Fishing Gear.Fishing line ( 1 meter = 1 piece),Other Trash.Other Trash,"Other Trash.Appliances (fridges, washers, etc)",Other Trash.Balloons,Other Trash.Cigar Tips,Other Trash.Cigarette Lighters,Other Trash.Construction Materials,Other Trash.Fireworks,Other Trash.Tyres,Items of Local Concern,Items of Local Concern.Foam Pieces,Items of Local Concern.Glass Pieces,Items of Local Concern.Plastic Pieces,Items of Local Concern.Rubber Bands,Packaging Materials,Packaging Materials.6-pack holders,Packaging Materials.Other Plastic / Foam Packaging,"Packaging Materials.Other Plastic Bottles (oil, bleach, etc)",Packaging Materials.Strapping bands,Packaging Materials.Tobacco Packaging / Wrappers,Personal Hygiene,Personal Hygiene.Condoms,Personal Hygiene.Diapers,Personal Hygiene.Syringes,Personal Hygiene.Tampons / Tampon Applicators,Dead / Injured Animals,Dead / Injured Animals.What Animal?,Dead / Injured Animals.Dead or Injured?,Dead / Injured Animals.Is the animal entangled? Entangled by what?,Comments
34,2019,Coney Island (Pulau Serangoon) Beach E,"Saturday, 19 October 2019",Republic Polytechnic Marine Science IG,Leong Zhao Lun,25,9,66,200,505,231,11,22,13,1,227,505,231,0,15,10,6,11,1,3,16,10,54,2,1,26,36,2,0,35,3,11,1,6,4,0,13,0,1,0,8,4,0,0,227,132,0,95,0,22,0,14,8,0,0,1,0,1,0,0,,NIL,,,"Motorcycle helmet, shoe, cooler bag, toys, flower pot, clothes, plastic chain, changkul"
35,2019,Coney Island (Pulau Serangoon) Beach E,"19th October, 2019",Republic Polytechnic Conservation Interest Group,Shaun Choo ,33 ,6,66,100,659,369,16,24,9,1,240,659,369,8,30,21,33,37,0,8,58,38,83,0,0,13,5,3,4,11,17,16,0,6,10,0,9,0,0,0,9,0,0,0,240,123,1,114,2,24,0,16,3,5,0,1,0,1,0,0,,NIL,,,"2 Shoes, 3 Markers, 1 Watch, 1 Cap, 1 Hanger, 2 Toothbrush, Nylon Rope, Fishing Line attached to a weight, Crayons, golf clubs, 3 sand bags, 1 blade, 15 sandals, 1 Picnic basket, 1 Apple Core, 1 Mask, 5 golf balls"
36,2019,Coney Island (Pulau Serangoon) Beach E,"Saturday, 21 September 2019",Trash Hero Singapore,Yanmei YANG ,60,18,232,150,1685,930,38,98,31,0,588,1685,930,10,43,23,5,33,3,6,29,12,418,175,17,16,102,8,6,21,3,38,1,4,32,1,31,3,2,0,11,8,1,6,588,352,20,216,0,98,2,37,55,4,0,0,0,0,0,0,,Lizard,,,"clothes x 17, plastic chair x 2, helmet x 4, leather bag x 3, light bulb x 4, shoes/slippers x 67, umbrella x 1, sponge (large) x 2, soft toy x 2, battery x 3, toliet seat x 1, broom x 1, trash bin (plastic) x 1"
37,2019,Coney Island (Pulau Serangoon) Beach D,"Saturday, 21 September 2019",Bishan CC,Carol Phillips,45,53,187,250,3187,1749,52,80,10,0,1296,3187,1749,750,55,21,5,122,6,8,270,18,406,23,15,10,34,1,0,5,0,52,1,3,32,16,10,0,1,1,4,0,0,4,1296,474,35,784,3,80,0,44,16,7,13,0,0,0,0,0,,NIL,,,0
38,2019,  Coney Island (Pulau Serangoon) Beach C,"Saturday, 19 October 2019",Pall Filtration,Robin Teo,6,7,42,20,562,452,8,9,29,0,64,562,452,3,0,62,0,123,0,3,30,28,94,21,1,19,51,0,3,13,1,8,0,2,6,0,29,2,0,0,23,0,0,4,64,57,1,5,1,9,0,3,5,1,0,0,0,0,0,0,,NIL,,,0
39,2019,Coney Island (Pulau Serangoon) Beach C,"Saturday, 19 October 2019",GSK Consumer Healthcare Pte Ltd,Evan Asava Aree,20,15,109,250,1369,929,15,108,8,3,306,1369,929,16,83,32,38,14,0,53,212,47,212,29,6,0,146,0,0,41,0,15,3,7,5,0,8,0,0,0,8,0,0,0,306,306,0,0,0,108,6,32,70,0,0,3,0,0,3,0,,NIL,,,"Large Boot, Puma Shoes, Heavy Glass Block"
40,2019,Coney Island (Pulau Serangoon) Beach C,"Saturday, 19 October 2019",ERM (S) Pte Ltd,Desmond Leung,10,11,61,50,1215,501,33,301,24,2,354,1215,501,1,19,25,7,22,0,1,10,17,342,26,4,2,1,1,1,20,2,33,1,6,16,10,24,1,0,0,20,3,0,0,354,291,3,60,0,301,2,165,131,3,0,2,0,0,1,1,,Crab,,,"Light bulb x 4; Camera x 1; Shuttlecock x 1; Hard hat (helmet) x 1; Electrical socket/ connector, Others: rubber pieces x 31 (e.g. shoe soles); aerosol spray can x 1; cloth; lamp x 1; life jacket x 1; dustpan x 1; shoe x 1; wooden pole x 1; fly swatter x 1; toys x 3; tooth brush x 2"
41,2019,Coney Island (Pulau Serangoon) Beach C,"Saturday, 19 October 2019",British High Commission,Jade Chung,27,23,175,150,1605,1020,31,113,54,5,382,1605,1020,2,37,54,24,92,0,18,57,72,469,23,5,16,79,0,0,48,24,31,4,5,22,0,54,2,2,0,42,4,0,4,382,310,1,68,3,113,11,50,44,8,0,5,0,3,1,1,,Crab,,,"Other items colected (e.g. toys, backpack, clothing, etc): 226 items"
42,2019,Coney Island (Pulau Serangoon) Beach B,"Saturday, 19 October 2019",Yinson Production Offshore Pte Ltd,"Serene Low, Phoebe Wong, Ooi Li Ping",80,30,304,300,1015,865,9,37,9,5,90,1015,865,12,3,203,52,158,1,9,20,10,307,3,9,4,34,10,13,7,10,9,1,3,4,1,9,2,1,0,1,2,1,2,90,42,1,47,0,37,0,13,19,4,1,5,1,3,1,0,,NIL,,,Organiser indicated >30 bags collected.
43,2019,Coney Island (Pulau Serangoon) Beach A,"Saturday, 19 October 2019",Surbana Jurong Consultants Pte Ltd,Arif,35,41,166,200,652,358,38,59,30,2,165,652,358,10,27,12,15,4,79,2,23,14,74,9,8,29,17,1,1,12,21,38,0,10,25,3,30,2,0,10,14,4,0,0,165,112,10,38,5,59,3,39,15,2,0,2,0,1,1,0,,NIL,,,"Gardening tools, Slippers, Toothbrush"
