S/N,Year,Site Location,Date of Cleanup,Organization,Name of Organiser,Total number of participants,Total number of trash bags filled,Weight of trash bags collected (kg),Total Distance (metres),DEBRIS SUMMARY,Most Likely to Find Items,Fishing Gear,Packaging Materials,Other Trash,Personal Hygiene,Items of Local Concern,TOTAL ITEMS,Most Likely to Find Items,Most Likely to Find Items.Cigarette Butts,"Most Likely to Find Items.Food Wrappers (candy, chips, etc)",Most Likely to Find Items.Take Out Containers (plastic),Most Likely to Find Items.Take Out Containers (foam),Most Likely to Find Items.Bottle Caps (plastic),Most Likely to Find Items.Bottle Caps (metal),Most Likely to Find Items.Lids (plastic),Most Likely to Find Items.Straws/Stirrers,"Most Likely to Find Items.Forks, Knives, Spoons",Most Likely to Find Items.Beverage Bottles (plastic),Most Likely to Find Items.Beverage Bottles (glass),Most Likely to Find Items.Beverage Cans,Most Likely to Find Items.Grocery Bags (plastic),Most Likely to Find Items.Other Plastic Bags,Most Likely to Find Items.Paper Bags,Most Likely to Find Items.Cups & Plates (paper),Most Likely to Find Items.Cups & Plates (plastic),Most Likely to Find Items.Cups & Plates (foam),Fishing Gear.Fishing Gear,Fishing Gear.Fishing Buoys,Fishing Gear.Fishing Net & Pieces,Fishing Gear.Rope (1 meter = 1 piece),Fishing Gear.Fishing line ( 1 meter = 1 piece),Other Trash.Other Trash,"Other Trash.Appliances (fridges, washers, etc)",Other Trash.Balloons,Other Trash.Cigar Tips,Other Trash.Cigarette Lighters,Other Trash.Construction Materials,Other Trash.Fireworks,Other Trash.Tyres,Items of Local Concern,Items of Local Concern.Foam Pieces,Items of Local Concern.Glass Pieces,Items of Local Concern.Plastic Pieces,Items of Local Concern.Rubber Bands,Packaging Materials,Packaging Materials.6-pack holders,Packaging Materials.Other Plastic / Foam Packaging,"Packaging Materials.Other Plastic Bottles (oil, bleach, etc)",Packaging Materials.Strapping bands,Packaging Materials.Tobacco Packaging / Wrappers,Personal Hygiene,Personal Hygiene.Condoms,Personal Hygiene.Diapers,Personal Hygiene.Syringes,Personal Hygiene.Tampons / Tampon Applicators,Dead / Injured Animals,Dead / Injured Animals.What Animal?,Dead / Injured Animals.Dead or Injured?,Dead / Injured Animals.Is the animal entangled? Entangled by what?,Comments
31,2019,Pasir Ris Beach 2,"Saturday, 19 October 2019",Bukit Batok Secondary School,Tan Thiam Chye / Syam Lal,80,120,118,80,3417,3268,8,68,44,0,29,3417,3268,5,76,331,7,381,2,3,700,129,202,16,13,1124,138,0,0,70,71,8,0,0,7,1,44,33,0,0,7,4,0,0,29,29,0,0,0,68,0,66,2,0,0,0,0,0,0,0,,Horshoe crab,,,0
32,2019,Pasir Ris Beach 1,"Saturday, 19 October 2019",Temasek Polytechnic,Cheong Kai Xin,14,7,65,200,945,619,2,93,12,0,219,945,619,15,70,11,3,46,0,13,201,17,58,2,5,8,115,3,14,36,2,2,0,2,0,0,12,0,1,0,3,8,0,0,219,110,1,107,1,93,0,77,6,2,8,0,0,0,0,0,,"Starfishs, crabs and horseshoe crabs",,,0
33,2019,Pasir Ris Beach 1,"Saturday, 19 October 2019",GEODIS Singapore Pte. Ltd.,Jeremy Chia,15,13,54,200,1158,775,0,44,31,1,307,1158,775,39,163,93,17,179,6,11,60,27,74,0,4,1,13,0,27,29,32,0,0,0,0,0,31,0,1,11,19,0,0,0,307,162,3,140,2,44,0,39,5,0,0,1,0,1,0,0,,Fish x 2,,,"Plastic Comb, Lipsticks, Medicine, Slipper, Shoe Padding, Clothes Hanger, Paper Pieces, Candles, Woods & Carpet."
105,2014,Pasir Ris Beach 1,"Saturday, 13 September, 2014",Brown University Alumni,Yvonne Koh,7,2,9,200,416,149,11,41,5,0,210,416,149,20,0,6,11,20,0,0,25,1,19,0,6,16,11,0,5,9,0,11,0,5,2,4,5,0,0,0,5,0,0,0,210,148,4,38,20,41,2,30,1,0,8,0,0,0,0,0,,Fish,,,
106,2014,Pasir Ris Beach 2,"Saturday, 13 September, 2014",Northvista Secondary School 3E3,Tay Chee Thong,30,13,81,250,643,586,2,18,4,0,33,643,586,32,235,5,0,13,4,2,49,2,3,6,9,40,117,54,3,12,0,2,0,0,0,2,4,0,0,0,0,3,1,0,33,0,2,31,0,18,1,11,1,0,5,0,0,0,0,0,,NIL,,,
107,2014,Pasir Ris Beach 6,"Saturday, 13 September, 2014",,,178,130,686,300,3286,2350,69,276,49,9,533,3286,2350,108,446,111,9,50,7,25,345,71,120,102,45,141,629,50,16,66,9,69,2,15,33,19,49,1,1,1,10,33,1,2,533,104,58,355,16,276,0,233,18,19,6,9,3,2,4,0,,"Jellyfish, crabs",,,
108,2014,Pasir Ris Beach 6,"Saturday, 13 September, 2014",NPS International School,Leena Chettri,25,13,85,350,588,302,26,22,14,0,224,588,302,5,55,25,5,21,5,8,34,12,29,10,12,5,36,15,13,11,1,26,0,3,11,12,14,0,1,0,9,4,0,0,224,82,3,136,3,22,0,22,0,0,0,0,0,0,0,0,,NIL,,,
109,2014,Pasir Ris Beach 6,"Saturday, 13 September, 2014",Naval Base Secondary School,Simon Teo,63,70,213,350,847,525,14,75,18,3,212,847,525,1,161,62,1,6,1,4,70,12,10,7,0,48,132,0,0,10,0,14,0,3,10,1,18,1,0,1,1,13,1,1,212,1,11,194,6,75,0,71,3,0,1,3,3,0,0,0,,Jellyfish,,,
110,2014,Pasir Ris Beach 6,"Saturday, 13 September, 2014",DHL Singapore,Dian Yassin,90,47,388,500,1851,1523,29,179,17,6,97,1851,1523,102,230,24,3,23,1,13,241,47,81,85,33,88,461,35,3,45,8,29,2,9,12,6,17,0,0,0,0,16,0,1,97,21,44,25,7,179,0,140,15,19,5,6,0,2,4,0,,crab,,,
146,2018,Pasir Ris Beach 1,"Saturday, 15 September 2018",BWM Chinatown,Tan Yiwen,103,25,288,650,3311,2578,94,56,39,4,540,,1116,506,440,25,35,13,5,1,88,3,,,,,,,,,,94,1,18,13,62,39,1,5,11,1,20,0,1,540,112,35,375,18,56,0,36,0,10,10,4,2,2,0,0,,Fish,,,
