S/N,Year,Site Location,Date of Cleanup,Organization,Name of Organiser,Total number of participants,Total number of trash bags filled,Weight of trash bags collected (kg),Total Distance (metres),DEBRIS SUMMARY,Most Likely to Find Items,Fishing Gear,Packaging Materials,Other Trash,Personal Hygiene,Items of Local Concern,TOTAL ITEMS,Most Likely to Find Items,Most Likely to Find Items.Cigarette Butts,"Most Likely to Find Items.Food Wrappers (candy, chips, etc)",Most Likely to Find Items.Take Out Containers (plastic),Most Likely to Find Items.Take Out Containers (foam),Most Likely to Find Items.Bottle Caps (plastic),Most Likely to Find Items.Bottle Caps (metal),Most Likely to Find Items.Lids (plastic),Most Likely to Find Items.Straws/Stirrers,"Most Likely to Find Items.Forks, Knives, Spoons",Most Likely to Find Items.Beverage Bottles (plastic),Most Likely to Find Items.Beverage Bottles (glass),Most Likely to Find Items.Beverage Cans,Most Likely to Find Items.Grocery Bags (plastic),Most Likely to Find Items.Other Plastic Bags,Most Likely to Find Items.Paper Bags,Most Likely to Find Items.Cups & Plates (paper),Most Likely to Find Items.Cups & Plates (plastic),Most Likely to Find Items.Cups & Plates (foam),Fishing Gear.Fishing Gear,Fishing Gear.Fishing Buoys,Fishing Gear.Fishing Net & Pieces,Fishing Gear.Rope (1 meter = 1 piece),Fishing Gear.Fishing line ( 1 meter = 1 piece),Other Trash.Other Trash,"Other Trash.Appliances (fridges, washers, etc)",Other Trash.Balloons,Other Trash.Cigar Tips,Other Trash.Cigarette Lighters,Other Trash.Construction Materials,Other Trash.Fireworks,Other Trash.Tyres,Items of Local Concern,Items of Local Concern.Foam Pieces,Items of Local Concern.Glass Pieces,Items of Local Concern.Plastic Pieces,Items of Local Concern.Rubber Bands,Packaging Materials,Packaging Materials.6-pack holders,Packaging Materials.Other Plastic / Foam Packaging,"Packaging Materials.Other Plastic Bottles (oil, bleach, etc)",Packaging Materials.Strapping bands,Packaging Materials.Tobacco Packaging / Wrappers,Personal Hygiene,Personal Hygiene.Condoms,Personal Hygiene.Diapers,Personal Hygiene.Syringes,Personal Hygiene.Tampons / Tampon Applicators,Dead / Injured Animals,Dead / Injured Animals.What Animal?,Dead / Injured Animals.Dead or Injured?,Dead / Injured Animals.Is the animal entangled? Entangled by what?,Comments
46,2019,Punggol Beach 2,"Saturday, 19 October 2019",Cold Storage Singapore Giant Dept,Jacob Vincent,47,18,114,100,801,498,2,77,37,1,186,801,498,20,10,11,8,100,2,30,52,43,93,26,6,9,37,7,3,26,15,2,0,0,2,0,37,0,0,5,21,1,9,1,186,93,0,78,15,77,0,73,3,0,1,1,1,0,0,0,,NIL,,,Teddy Bear/Toothbrush/Slippers
47,2019,Punggol Beach 1,"Saturday, 19 October 2019",KBC Bank N.V. Singapore Branch,Katelyn So,17,22,95,100,978,600,2,141,35,2,198,978,600,5,21,36,58,124,0,9,27,54,195,7,0,2,23,2,3,34,0,2,0,0,2,0,35,0,0,9,25,0,0,1,198,183,1,14,0,141,0,81,59,1,0,2,0,1,1,0,,NIL,,,"Buzz Lightyear figurines (3), Shuttlecock (1), Ping pong ball (1), Soft toy (1), seat cushion (1), Tyre (1), pillow (1), Dart (1), "
99,2014,Punggol Beach (Northeast),"Saturday, 13 September, 2014",,,85,32,311,490,3501,1823,76,212,44,7,1339,3501,1823,232,110,21,571,74,19,18,136,22,141,41,77,63,169,17,13,76,23,76,7,25,30,14,44,12,4,0,8,14,3,3,1339,1044,44,240,11,212,0,96,30,65,21,7,0,6,1,0,,"fish, horseshoe crab, jellyfish, crabs, cat, ants",,,
100,2014,Punggol Beach 1,"Saturday, 13 September, 2014",North Vista Secondary School ODAC,Ng Li Wei,42,10,121,250,585,361,23,15,15,1,170,585,361,52,36,8,4,17,5,6,23,16,40,9,43,30,29,7,6,25,5,23,0,11,7,5,15,4,0,0,1,9,0,1,170,96,13,56,5,15,0,4,1,5,5,1,0,1,0,0,,Fish,,,
101,2014,Punggol Beach 2,"Saturday, 13 September, 2014",Overseas Family School (OFS),Jean Curry,20,12,123,90,2359,1205,47,122,24,6,955,2359,1205,177,32,6,550,51,10,11,77,5,75,28,30,12,76,10,1,39,15,47,6,10,23,8,24,4,4,0,6,5,3,2,955,800,27,123,5,122,0,44,22,47,9,6,0,5,1,0,,horse shoe crab,,,
102,2014,Punggol Beach 2,"Saturday, 13 September, 2014",CHIJ St Nicholas Girls' School,"Ms Dawn Lim, Ms Leong Chee Bing & Mr Kuah Ee Qiang",23,22,67,150,557,257,6,75,5,0,214,557,257,3,42,7,17,6,4,1,36,1,26,4,4,21,64,0,6,12,3,6,1,4,0,1,5,4,0,0,1,0,0,0,214,148,4,61,1,75,0,48,7,13,7,0,0,0,0,0,,Jellyfish,,,
134,2018,Punggol Beach ,"Saturday, September 15, 2018",Agri-Food and Veterinary Authority of Singapore,Michelle Ooi,15,7,63,100,577,342,3,8,6,2,216,,230,7,82,1,0,9,1,1,129,0,,,,,,,,,,3,0,1,0,2,6,3,0,0,0,3,0,0,216,60,4,150,2,8,0,2,4,0,2,2,0,1,1,0,,Crabs (Five),,,
135,2018,Punggol Beach 2,"Saturday, September 15, 2018",LaSalle Investment Management Asia Pte Ltd,Ho Sin Huay,20,10,86,100,823,432,14,76,25,2,274,,225,23,49,13,9,28,0,2,97,4,,,,,,,,,,14,0,6,5,3,25,0,0,0,8,16,0,1,274,142,16,112,4,76,0,63,8,2,3,2,0,2,0,0,,Crab,,,
136,2018,Punggol Beach 1,"Saturday, September 15, 2018",YTL PowerSeraya ,Kevin W F Lee,12,6,34,200,182,86,1,14,1,0,80,,39,1,1,0,35,0,0,0,1,1,,,,,,,,,,1,0,1,0,0,1,0,0,0,1,0,0,0,80,38,14,27,1,14,0,13,1,0,0,0,0,0,0,0,,0,,,
197,2017,Punggol Beach 1,"Saturday, 23 September 2017",Alfa Laval Singapore Pte Ltd,Amrita Barua,19,9,121,100,1121,544,79,91,28,1,378,1121,544,81,33,24,21,42,1,10,20,10,51,22,9,42,117,2,2,19,38,79,2,21,49,7,28,0,0,0,13,15,0,0,378,226,59,91,2,91,1,58,18,13,1,1,0,1,0,0,,Crabs (5),,,
198,2017,Punggol Beach 2,"Saturday, 23 September 2017",ONE (Singapore),Iman Fahim Hameed,17,10,123,200,490,200,16,63,12,0,199,490,200,11,10,12,0,9,1,7,22,1,37,13,5,25,23,3,0,18,3,16,0,8,3,5,12,1,0,1,6,4,0,0,199,128,2,66,3,63,0,50,10,0,3,0,0,0,0,0,,Nil,,,
199,2017,Punggol Beach 1,"Saturday, 23 September 2017",PacificLight Power Pte Ltd,Ryan Tan,9,6,66,200,141,91,3,13,7,5,22,141,91,8,4,0,5,7,3,0,2,0,14,6,15,14,2,4,0,5,2,3,0,0,2,1,7,0,3,0,0,4,0,0,22,3,7,8,4,13,0,3,3,0,7,5,0,2,3,0,,Nil,,,
