S/N,Year,Site Location,Date of Cleanup,Organization,Name of Organiser,Total number of participants,Total number of trash bags filled,Weight of trash bags collected (kg),Total Distance (metres),DEBRIS SUMMARY,Most Likely to Find Items,Fishing Gear,Packaging Materials,Other Trash,Personal Hygiene,Items of Local Concern,TOTAL ITEMS,Most Likely to Find Items,Most Likely to Find Items.Cigarette Butts,"Most Likely to Find Items.Food Wrappers (candy, chips, etc)",Most Likely to Find Items.Take Out Containers (plastic),Most Likely to Find Items.Take Out Containers (foam),Most Likely to Find Items.Bottle Caps (plastic),Most Likely to Find Items.Bottle Caps (metal),Most Likely to Find Items.Lids (plastic),Most Likely to Find Items.Straws/Stirrers,"Most Likely to Find Items.Forks, Knives, Spoons",Most Likely to Find Items.Beverage Bottles (plastic),Most Likely to Find Items.Beverage Bottles (glass),Most Likely to Find Items.Beverage Cans,Most Likely to Find Items.Grocery Bags (plastic),Most Likely to Find Items.Other Plastic Bags,Most Likely to Find Items.Paper Bags,Most Likely to Find Items.Cups & Plates (paper),Most Likely to Find Items.Cups & Plates (plastic),Most Likely to Find Items.Cups & Plates (foam),Fishing Gear.Fishing Gear,Fishing Gear.Fishing Buoys,Fishing Gear.Fishing Net & Pieces,Fishing Gear.Rope (1 meter = 1 piece),Fishing Gear.Fishing line ( 1 meter = 1 piece),Other Trash.Other Trash,"Other Trash.Appliances (fridges, washers, etc)",Other Trash.Balloons,Other Trash.Cigar Tips,Other Trash.Cigarette Lighters,Other Trash.Construction Materials,Other Trash.Fireworks,Other Trash.Tyres,Items of Local Concern,Items of Local Concern.Foam Pieces,Items of Local Concern.Glass Pieces,Items of Local Concern.Plastic Pieces,Items of Local Concern.Rubber Bands,Packaging Materials,Packaging Materials.6-pack holders,Packaging Materials.Other Plastic / Foam Packaging,"Packaging Materials.Other Plastic Bottles (oil, bleach, etc)",Packaging Materials.Strapping bands,Packaging Materials.Tobacco Packaging / Wrappers,Personal Hygiene,Personal Hygiene.Condoms,Personal Hygiene.Diapers,Personal Hygiene.Syringes,Personal Hygiene.Tampons / Tampon Applicators,Dead / Injured Animals,Dead / Injured Animals.What Animal?,Dead / Injured Animals.Dead or Injured?,Dead / Injured Animals.Is the animal entangled? Entangled by what?,Comments
23,2019,Chek Jawa South 4-5,"Thursday, 19 September 2019",School of the Arts (SOTA),Beatrice Low,5,9,23,100,426,278,5,15,12,0,116,426,278,0,4,6,1,5,0,1,2,6,146,2,2,13,1,0,2,84,3,5,0,1,4,0,12,2,1,0,2,7,0,0,116,113,0,3,0,15,0,8,7,0,0,0,0,0,0,0,,NIL,,,0
24,2019,Chek Jawa South 4-7,"Saturday, 19 October 2019",Anglo-Chinese Junior College Geography Students,Mark Ng,42,20,296,80,1106,737,25,134,7,2,201,1106,737,0,63,40,1,14,3,1,13,3,239,6,18,26,156,9,2,142,1,25,0,5,20,0,7,0,1,0,3,2,0,1,201,156,2,43,0,134,0,96,14,24,0,2,0,1,1,0,,Crab,,,0
25,2019,Chek Jawa South 1-3,"Saturday, 19 October 2019",Sukyo Mahikari,Michelle Lau,35,36,213,100,1363,812,42,86,47,0,376,1363,812,10,73,33,8,18,2,11,24,7,144,40,37,57,179,0,0,110,59,42,2,13,25,2,47,2,1,0,17,18,0,9,376,95,30,251,0,86,0,46,34,5,1,0,0,0,0,0,,NIL,,,0
26,2019,Chek  Jawa Central 1 & 2,"Saturday, 19 October 2019",Dunman Secondary School,Norlinda Ishnin,20,9,74,200,466,332,9,55,2,0,68,466,332,0,51,20,0,3,0,5,40,6,55,4,3,5,65,0,0,70,5,9,0,1,2,6,2,0,0,0,2,0,0,0,68,54,4,10,0,55,0,54,0,0,1,0,0,0,0,0,,Horseshoe crab,,,0
27,2019,Chek Jawa Central 1,"Saturday, 21 September 2019",GESS Dragon Scouts Chapter,Mark Ng,8,10,68,60,1325,528,43,44,8,0,702,1325,528,3,80,11,5,22,2,18,84,6,65,6,9,39,126,11,2,32,7,43,0,2,41,0,8,0,1,0,5,2,0,0,702,551,6,144,1,44,0,40,2,1,1,0,0,0,0,0,,0,,,"Washing Machine Filter, Shoe, Soles, Toiletries, Toothbrush, Masking Tape, Specacle Case, Religious Objects,Gloves, Foil Bag, Tray, Carpet Permanent Marker, Blue Chemical Containers, Bubble Wrap, Shower Cap, Slippers, Doremon Toy"
28,2019,Chek Jawa North 1 & 2,"Saturday, 19 October 2019",Bedok South Secondary School,Edzra Iskandar,45,55,285,250,1000,517,29,24,10,1,419,1000,517,16,45,33,6,36,0,0,4,0,160,5,7,27,145,0,7,18,8,29,2,0,7,20,10,2,0,0,6,0,0,2,419,168,15,236,0,24,0,0,24,0,0,1,0,1,0,0,,Crab,,,Seems like less rubbish compared to last year. More smaller debris.
63,2014,Jelutong Beach (Pulau Ubin East excluding Chek Jawa),"Wednesday, 1 October, 2014",United World College of South East Asia (Dover),Danny O'Connor,120,30,50,350,2595,1255,139,190,45,1,965,2595,1255,94,59,77,36,91,16,35,30,65,272,51,63,136,115,18,9,64,24,139,12,36,59,32,45,1,2,7,12,7,0,16,965,553,148,240,24,190,2,69,77,17,25,1,0,0,0,1,,crab,,,
64,2014,Ubin Jetty Beach (Pulau Ubin East excluding Chek Jawa),"Saturday, 13 September, 2014",Ardentec Singapore Pte Ltd,Sarah Chu,41,29,244,50,2371,1816,35,76,27,2,415,2371,1816,41,159,184,92,222,47,116,248,62,93,72,28,95,67,8,104,98,80,35,3,1,21,10,27,1,3,10,7,6,0,0,415,105,102,200,8,76,0,55,11,8,2,2,0,0,0,2,,Horseshoe Crabs (3),,,
65,2014,Ubin Village Beach (Pulau Ubin East excluding Chek Jawa),"Saturday, 13 September, 2014",Inland Revenue Authority of Singapore (IRAS),Janice Lim,25,16,267,100,2052,1686,13,114,23,3,213,2052,1686,8,287,32,0,53,10,19,341,32,60,26,26,132,604,2,4,48,2,13,0,3,9,1,23,0,0,0,19,1,0,3,213,73,67,73,0,114,1,79,22,3,9,3,0,1,1,1,,NIL,,,
113,2014,Chek Jawa North 1,"Thursday, 13 March, 2014","MOE Bedok South Sec School, Henderson Sec School","Mr Edzra Iskandar, Ms Cynthia Chong, Ms Norlinda Ishnin",26,25,76,200,1374,1072,3,12,15,0,272,1374,1072,0,58,24,51,289,0,14,6,9,295,8,18,52,65,3,0,68,112,3,1,2,0,0,15,6,0,0,5,1,0,3,272,125,5,142,0,12,0,7,5,0,0,0,0,0,0,0,,Sea Cucumber,,,
