S/N,Year,Site Location,Date of Cleanup,Organization,Name of Organiser,Total number of participants,Total number of trash bags filled,Weight of trash bags collected (kg),Total Distance (metres),DEBRIS SUMMARY,Most Likely to Find Items,Fishing Gear,Packaging Materials,Other Trash,Personal Hygiene,Items of Local Concern,TOTAL ITEMS,Most Likely to Find Items,Most Likely to Find Items.Cigarette Butts,"Most Likely to Find Items.Food Wrappers (candy, chips, etc)",Most Likely to Find Items.Take Out Containers (plastic),Most Likely to Find Items.Take Out Containers (foam),Most Likely to Find Items.Bottle Caps (plastic),Most Likely to Find Items.Bottle Caps (metal),Most Likely to Find Items.Lids (plastic),Most Likely to Find Items.Straws/Stirrers,"Most Likely to Find Items.Forks, Knives, Spoons",Most Likely to Find Items.Beverage Bottles (plastic),Most Likely to Find Items.Beverage Bottles (glass),Most Likely to Find Items.Beverage Cans,Most Likely to Find Items.Grocery Bags (plastic),Most Likely to Find Items.Other Plastic Bags,Most Likely to Find Items.Paper Bags,Most Likely to Find Items.Cups & Plates (paper),Most Likely to Find Items.Cups & Plates (plastic),Most Likely to Find Items.Cups & Plates (foam),Fishing Gear.Fishing Gear,Fishing Gear.Fishing Buoys,Fishing Gear.Fishing Net & Pieces,Fishing Gear.Rope (1 meter = 1 piece),Fishing Gear.Fishing line ( 1 meter = 1 piece),Other Trash.Other Trash,"Other Trash.Appliances (fridges, washers, etc)",Other Trash.Balloons,Other Trash.Cigar Tips,Other Trash.Cigarette Lighters,Other Trash.Construction Materials,Other Trash.Fireworks,Other Trash.Tyres,Items of Local Concern,Items of Local Concern.Foam Pieces,Items of Local Concern.Glass Pieces,Items of Local Concern.Plastic Pieces,Items of Local Concern.Rubber Bands,Packaging Materials,Packaging Materials.6-pack holders,Packaging Materials.Other Plastic / Foam Packaging,"Packaging Materials.Other Plastic Bottles (oil, bleach, etc)",Packaging Materials.Strapping bands,Packaging Materials.Tobacco Packaging / Wrappers,Personal Hygiene,Personal Hygiene.Condoms,Personal Hygiene.Diapers,Personal Hygiene.Syringes,Personal Hygiene.Tampons / Tampon Applicators,Dead / Injured Animals,Dead / Injured Animals.What Animal?,Dead / Injured Animals.Dead or Injured?,Dead / Injured Animals.Is the animal entangled? Entangled by what?,Comments
4,2019,Sungei Buloh WR West (C8 Mangrove),"Saturday, 19 October 2019",Nanyang Polytechnic - GEO Council,Oviya Namo,25,17,125,50,1393,652,7,72,17,0,645,1393,652,9,96,28,19,14,0,5,101,9,90,3,11,14,215,3,0,28,7,7,0,6,1,0,17,0,1,0,8,8,0,0,645,102,22,521,0,72,0,55,16,0,1,0,0,0,0,0,,NIL,,,0
53,2014,Sungei Buloh Wetlands Reserve West,"Saturday, 13 September, 2014",NUS High School of Math and Science,Victoria Yang/ Zhu Shiyao,35,13,146,375,1191,826,45,51,20,1,248,1191,826,0,89,6,16,17,5,2,95,2,31,21,5,55,436,0,3,20,23,45,0,4,41,0,20,0,0,1,13,6,0,0,248,80,60,86,22,51,1,33,3,5,9,1,1,0,0,0,,horseshoe crab,,,
54,2014,Sungei Buloh Wetlands Reserve West,"Saturday, 13 September, 2014",Ministry of Manpower,"Yeo Su Yin, Roy Chiam, Tan Yi Hui, Teo Ya Chih",26,18,122,100,795,569,9,135,3,3,76,795,569,0,58,8,14,10,0,1,25,3,14,81,6,30,224,0,3,18,74,9,0,1,8,0,3,0,0,0,2,1,0,0,76,11,61,3,1,135,0,54,65,1,15,3,0,0,0,3,,Horseshoe crab,,,
58,2014,Kranji Bund Mangrove (Zone: Northwest),"Saturday, 27 September, 2014",Nature Society (Singapore),Kerry Pereira,80,82,674,200,2430,1406,45,147,195,0,637,2430,1406,3,170,133,38,15,20,36,10,88,230,136,79,96,217,9,5,71,50,45,0,24,12,9,195,36,1,0,9,121,0,28,637,172,158,229,78,147,2,83,39,9,14,0,0,0,0,0,,Horseshoe Crabs,,,
130,2018,Sungei Buloh Wetland Reserve West C8,"Saturday, 15 September 18",Jurong Secondary School,Muhammad Faidzil Abdul Rahmah,35,44,180,50,2865,2111,6,355,40,0,353,,999,35,376,255,10,143,2,32,112,34,,,,,,,,,,6,2,0,4,0,40,0,0,0,37,3,0,0,353,335,18,0,0,355,0,115,215,23,2,0,0,0,0,0,,Horseshoe Crab,,,
190,2017,Sungei Buloh West Mangroves,"Saturday, 9 September 2017",GSK,Melvin Wong / Prakash Natarajan,7,8,82,50,590,461,10,12,12,1,94,590,461,2,31,2,0,2,4,3,114,0,8,44,4,10,224,0,3,10,0,10,10,0,0,0,12,1,0,0,1,7,0,3,94,10,58,25,1,12,0,8,2,2,0,1,1,0,0,0,,Nil,,,
191,2017,Sungei Buloh West Mangroves,"Saturday, 9 September 2017",Jurong Secondary School,Muhammad Faidzil Abdul Rahman,44,42,194,60,2357,1513,43,73,11,4,713,2357,1513,75,174,102,166,44,0,76,105,23,78,86,16,187,64,0,0,162,155,43,2,15,22,4,11,0,0,0,2,7,0,2,713,342,203,168,0,73,3,17,35,18,0,4,0,4,0,0,,Fish,,,
239,2017,West Coast Park Beach,"Saturday, 23 September 2017",RGBLife,Tan Bei Yi,21,17,192,100,1027,549,83,50,34,0,311,1027,549,76,69,38,51,8,2,4,26,29,35,2,21,32,111,7,3,32,3,83,0,10,70,3,34,5,0,0,9,20,0,0,311,76,23,207,5,50,1,33,3,6,7,0,0,0,0,0,,NIL,,,
260,2016,Sungei Buloh West Mangrove,"Saturday, 3 September 2016",Jurong Secondary School,Faidzil Abdul Rahman,62,50,154,500,1880,1118,33,103,36,16,574,1880,1118,70,126,57,124,32,12,43,55,23,77,26,25,158,96,0,0,117,77,33,8,4,18,3,36,1,0,0,15,19,0,1,574,423,95,56,0,103,2,15,77,0,9,16,0,16,0,0,,Fish,,,
261,2016,Sungei Buloh West Mangrove,"Saturday, 3 September 2016",Earthlink NTU,"Goh Shu Hui Gina, Wong Zhi Sian",34,33,169.5,50,1924,1075,14,190,34,4,607,1924,1075,0,225,9,19,10,2,10,156,4,41,22,10,222,267,0,3,59,16,14,0,6,8,0,34,1,0,0,5,28,0,0,607,306,45,253,3,190,0,159,5,17,9,4,1,2,1,0,,Fish,,,
301,2016,West Coast Park Beach,"Saturday, 17 September 2016",Bioprocessing Technology Institute,Ng Sze Wai,20,14,130,100,1759,926,16,273,6,2,536,1759,926,418,98,9,4,20,3,4,21,36,34,2,25,34,173,1,0,35,9,16,1,5,9,1,6,1,1,0,2,2,0,0,536,146,4,381,5,273,0,26,5,239,3,2,0,1,0,1,,0,,,
